postcode_sector,average_price,percentage_average_price
NW1 0,526000,78
NW1 1,584000,87
NW1 2,682000,102
NW1 3,457000,68
NW1 4,3200000,476
NW1 5,1200000,174
NW1 6,739000,110
NW1 7,1300000,199
NW1 8,1500000,225
NW1 9,938000,140
NW10 0,391000,58
NW10 1,698000,104
NW10 2,564000,84
NW10 3,1300000,196
NW10 4,592000,88
NW10 5,864000,129
NW10 6,499000,74
NW10 7,449000,67
NW10 8,355000,53
NW10 9,456000,68
NW11 0,1100000,158
NW11 6,1300000,192
NW11 7,1600000,231
NW11 8,1000000,154
NW11 9,786000,117
NW2 1,643000,96
NW2 2,759000,113
NW2 3,710000,106
NW2 4,797000,119
NW2 5,547000,81
NW2 6,641000,96
NW2 7,525000,78
NW3 1,1700000,249
NW3 2,1300000,190
NW3 3,1500000,216
NW3 4,1200000,183
NW3 5,1300000,189
NW3 6,2000000,303
NW3 7,2200000,332
NW4 1,676000,101
NW4 2,700000,104
NW4 3,655000,98
NW4 4,494000,74
NW5 1,962000,143
NW5 2,779000,116
NW5 3,877000,131
NW5 4,644000,96
NW6 1,975000,145
NW6 2,695000,103
NW6 3,1100000,158
NW6 4,692000,103
NW6 5,589000,88
NW6 6,1300000,193
NW6 7,799000,119
NW7 1,580000,86
NW7 2,746000,111
NW7 3,771000,115
NW7 4,980000,146
NW8 0,2100000,310
NW8 6,3100000,457
NW8 7,1500000,225
NW8 8,715000,106
NW8 9,1600000,234
NW9 0,474000,71
NW9 4,476000,71
NW9 5,364000,54
NW9 6,471000,70
NW9 7,467000,70
NW9 8,506000,75
NW9 9,522000,78
RM1 1,237000,35
RM1 2,335000,50
RM1 3,302000,45
RM1 4,520000,77
RM10 7,353000,53
RM10 8,358000,53
RM10 9,340000,51
RM11 1,459000,68
RM11 2,571000,85
RM11 3,570000,85
RM12 4,463000,69
RM12 5,448000,67
RM12 6,463000,69
RM13 7,415000,62
RM13 8,381000,57
RM13 9,391000,58
RM14 1,586000,87
RM14 2,612000,91
RM14 3,663000,99
RM2 5,582000,87
RM2 6,466000,69
RM3 0,445000,66
RM3 7,416000,62
RM3 8,334000,50
RM3 9,404000,60
RM5 2,417000,62
RM5 3,431000,64
RM6 4,365000,54
RM6 5,407000,61
RM6 6,407000,61
RM7 0,387000,58
RM7 7,426000,63
RM7 8,421000,63
RM7 9,360000,54
RM8 1,357000,53
RM8 2,354000,53
RM8 3,362000,54
RM9 4,362000,54
RM9 5,348000,52
RM9 6,304000,45
SE1 0,659000,98
SE1 1,559000,83
SE1 2,752000,112
SE1 3,607000,90
SE1 4,617000,92
SE1 5,484000,72
SE1 6,560000,83
SE1 7,753000,112
SE1 8,898000,134
SE1 9,1200000,173
SE10 0,555000,83
SE10 8,624000,93
SE10 9,552000,82
SE11 4,701000,104
SE11 5,571000,85
SE11 6,490000,73
SE12 0,448000,67
SE12 8,570000,85
SE12 9,486000,72
SE13 5,645000,96
SE13 6,467000,70
SE13 7,558000,83
SE14 5,583000,87
SE14 6,451000,67
SE15 1,475000,71
SE15 2,545000,81
SE15 3,662000,99
SE15 4,730000,109
SE15 5,626000,93
SE15 6,397000,59
SE16 2,452000,67
SE16 3,455000,68
SE16 4,521000,78
SE16 5,568000,85
SE16 6,624000,93
SE16 7,503000,75
SE17 1,702000,105
SE17 2,475000,71
SE17 3,541000,81
SE18 1,377000,56
SE18 2,419000,62
SE18 3,438000,65
SE18 4,380000,57
SE18 5,374000,56
SE18 6,468000,70
SE18 7,363000,54
SE19 1,519000,77
SE19 2,490000,73
SE19 3,485000,72
SE2 0,435000,65
SE2 9,368000,55
SE20 7,490000,73
SE20 8,404000,60
SE21 7,2000000,300
SE21 8,801000,119
SE22 0,803000,120
SE22 8,831000,124
SE22 9,758000,113
SE23 1,560000,83
SE23 2,585000,87
SE23 3,626000,93
SE24 0,870000,130
SE24 9,958000,143
SE25 4,397000,59
SE25 5,360000,54
SE25 6,398000,59
SE26 4,588000,88
SE26 5,562000,84
SE26 6,548000,82
SE27 0,565000,84
SE27 9,557000,83
SE28 0,340000,51
SE28 8,324000,48
SE3 0,695000,104
SE3 7,722000,108
SE3 8,556000,83
SE3 9,680000,101
SE4 1,654000,97
SE4 2,560000,83
SE5 0,503000,75
SE5 7,483000,72
SE5 8,668000,100
SE5 9,568000,85
SE6 1,553000,82
SE6 2,444000,66
SE6 3,386000,58
SE6 4,468000,70
SE7 7,509000,76
SE7 8,540000,80
SE8 3,439000,65
SE8 4,475000,71
SE8 5,450000,67
SE9 1,635000,95
SE9 2,475000,71
SE9 3,494000,74
SE9 4,434000,65
SE9 5,475000,71
SE9 6,473000,70
SM1 1,452000,67
SM1 2,478000,71
SM1 3,489000,73
SM1 4,388000,58
SM2 5,511000,76
SM2 6,472000,70
SM2 7,988000,147
SM3 8,509000,76
SM3 9,482000,72
SM4 4,539000,80
SM4 5,473000,70
SM4 6,453000,68
SM5 1,404000,60
SM5 2,419000,62
SM5 3,589000,88
SM5 4,679000,101
SM6 0,422000,63
SM6 7,392000,58
SM6 8,465000,69
SM6 9,529000,79
SW10 0,1300000,195
